,id_cmd,id_nett,id_utilisateur,type,note,avis,statut,date,heure,frais,type_nettoyage,type_canapé,type_matelas,niveau_salete,ville,nettoyage_externe,nettoyage_interne,mois
306,40233,84198,499695,matelas,5,N/A,terminée,2023-06-02,0:50,45,sec,Aucun,moyen,moyen,Saint-Avold,FALSE,FALSE,2023-06
307,19870,836026,159447,matelas,5,N/A,terminée,2023-10-09,18:51,40,sec,Aucun,moyen,léger,Chartres,FALSE,FALSE,2023-10
658,32242,591563,146542,auto,5,Un service très pratique. Ma voiture a été nettoyée pendant que je vaquais à mes occupations. Excellent service !,terminée,2023-02-18,0:59,75,à l'eau,Aucun,Aucun,léger,Charleville-Mézières,TRUE,TRUE,2023-02
1025,13667,946842,138954,auto,5,N/A,terminée,2023-08-26,23:54,65,sec,Aucun,Aucun,moyen,Angers,TRUE,FALSE,2023-08
366,52685,539844,12987,canapé,4,Félicitations pour avoir transformé avec succès mon espace de détente. C'est incroyable de voir à quel point il est propre et accueillant.,terminée,2023-04-16,12:27,45,sec,moyen,Aucun,moyen,Rodez,FALSE,FALSE,2023-04
368,65503,195630,115979,canapé,4,Mon mobilier semble tellement reconnaissant d'avoir été choyé avec cette application. Un résultat éblouissant!,terminée,2023-06-04,16:21,55,sec,grand,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-06
369,87808,967042,492279,canapé,4,C'est incroyable à quel point une simple application peut faire des miracles. Mon intérieur est un témoignage vivant de mon effort et de mon succès!,terminée,2023-12-29,21:08,65,à l'eau,grand,Aucun,moyen,Chartres,FALSE,FALSE,2023-12
370,38148,878827,356308,canapé,4,Je mérite des éloges pour avoir rendu à mon lieu de repos sa splendeur d'origine. C'est une transformation remarquable!,terminée,2023-09-08,19:43,60,sec,grand,Aucun,élevé,Saint-Avold,FALSE,FALSE,2023-09
371,40382,651167,709494,canapé,4,"Mon espace est maintenant d'une propreté éclatante, tout cela grâce à mon habileté avec cette application. Continuez ainsi!",terminée,2023-07-23,6:07,50,à l'eau,moyen,Aucun,léger,Riom,FALSE,FALSE,2023-07
374,25618,514377,94878,canapé,4,"Avec cette application de nettoyage, j'ai réussi à faire briller mon coin détente. Il respire la propreté et le bien-être!",terminée,2023-01-04,19:05,55,à l'eau,moyen,Aucun,moyen,Saint-Avold,FALSE,FALSE,2023-01
375,73969,341893,822571,canapé,4,Mon mobilier brille comme neuf après cette séance de nettoyage. Bravo pour l'effet rafraîchissant que j'ai réussi à lui donner!,terminée,2023-03-16,17:43,70,à l'eau,grand,Aucun,élevé,Rivesaltes,FALSE,FALSE,2023-03
403,88050,80996,693264,canapé,4,J'ai réussi à rendre à mon coin de relaxation son éclat d'origine. C'est incroyable de voir à quel point il est accueillant maintenant.,terminée,2023-11-10,10:23,35,sec,petit,Aucun,moyen,Charleville-Mézières,FALSE,FALSE,2023-11
410,98206,80996,676982,canapé,4,"Avec succès, j'ai utilisé l'application de nettoyage pour redonner vie à mon espace. Il semble tout juste sorti du magasin!",terminée,2023-01-08,21:21,30,sec,petit,Aucun,léger,Saint-Avold,FALSE,FALSE,2023-01
450,17713,727790,469593,canapé,4,Cette apli pour nettoyer le canapé n'était pas top. Les tach étai toujour présente et l'odeur étai encore là. Pas satisfait du tout!,terminée,2023-08-02,9:48,65,à l'eau,grand,Aucun,moyen,Rumilly,FALSE,FALSE,2023-08
452,73037,62862,696939,canapé,4,Cette apli de nettoyage de canapé n'a pa été efficace du tout. Mon canapé étai toujour taché après le nettoyage. Quelle déception!,terminée,2023-12-18,4:51,60,à l'eau,grand,Aucun,léger,Caen,FALSE,FALSE,2023-12
677,22541,748834,611617,auto,4,"Service exceptionnel, ma voiture est dans un état impeccable, je recommande vivement.",terminée,2023-11-12,17:54,85,sec,Aucun,Aucun,moyen,Saint-Avold,TRUE,TRUE,2023-11
678,76222,954372,73717,auto,4,"Service exceptionnel, du nettoyage à l'interaction avec le personnel.",terminée,2023-03-28,23:02,75,à l'eau,Aucun,Aucun,élevé,Saint-Avold,TRUE,FALSE,2023-03
680,74664,809513,489431,auto,4,Service de qualité,terminée,2023-02-12,22:11,85,sec,Aucun,Aucun,moyen,Saint-Avold,TRUE,TRUE,2023-02
682,60426,962374,854910,auto,4,"Service de confiance, ma voiture est toujours nettoyée de manière exceptionnelle.",terminée,2023-08-03,23:09,85,à l'eau,Aucun,Aucun,moyen,Saint-Avold,TRUE,TRUE,2023-08
683,95471,468203,770541,auto,4,"Satisfaction totale, le service a répondu à toutes mes attentes.",terminée,2023-09-01,13:20,75,à l'eau,Aucun,Aucun,moyen,75009 Paris,FALSE,TRUE,2023-09
684,88545,883566,289857,auto,4,"Satisfaction totale avec le nettoyage, ma voiture est impeccable.",terminée,2023-11-03,8:54,65,sec,Aucun,Aucun,léger,Saint-Avold,FALSE,TRUE,2023-11
687,38602,514377,36360,auto,4,Résultat satisfaisant,terminée,2023-05-22,22:24,75,à l'eau,Aucun,Aucun,élevé,Saint-Avold,TRUE,FALSE,2023-05
698,12961,514459,523950,auto,4,"Parfaitement propre ! Chaque détail a été pris en compte, ma voiture est impeccable.",terminée,2023-03-19,14:12,95,sec,Aucun,Aucun,élevé,Blois,TRUE,TRUE,2023-03
710,53964,418578,517230,auto,4,"Ma voiture était vraiment sale avant le nettoyage, mais les nettoyeurs ont fait un travail incroyable. Ils ont réussi à la rendre comme neuve. Les sièges étaient propres et moelleux, les vitres étaient impeccables, et la peinture brillait. Je suis vraiment impressionné par le travail qu'ils ont fait.",terminée,2023-02-13,10:29,85,à l'eau,Aucun,Aucun,moyen,Reims,TRUE,TRUE,2023-02
711,77532,96830,73575,auto,4,Ma voiture était comme neuve !,terminée,2023-07-28,21:17,55,sec,Aucun,Aucun,léger,67000 Strasbourg,TRUE,FALSE,2023-07
713,14756,385598,949737,auto,4,Ma voiture est impeccable,terminée,2023-08-21,12:21,65,à l'eau,Aucun,Aucun,léger,Rivesaltes,FALSE,TRUE,2023-08
714,24567,539844,623595,auto,4,Les vitres étaient impeccable.,terminée,2023-05-14,1:43,75,à l'eau,Aucun,Aucun,moyen,Clermont-Ferrand,FALSE,TRUE,2023-05
716,81887,946842,731503,auto,4,Les sièges étaient comme neuf.,terminée,2023-10-11,14:45,65,sec,Aucun,Aucun,moyen,Perpignan,TRUE,FALSE,2023-10
723,76509,525496,468384,auto,4,Les nettoyeurs ont fait un excellent travail. La voiture est propre et brillante. Je suis très satisfait.,terminée,2023-08-29,21:38,75,sec,Aucun,Aucun,élevé,Saint-Avold,TRUE,FALSE,2023-08
724,71372,70861,574840,auto,4,Les nettoyeurs ont fait un excellent travail. La voiture est propre et brillante. Je suis très satisfait.,terminée,2023-09-02,2:37,65,sec,Aucun,Aucun,moyen,Fort-de-France,TRUE,FALSE,2023-09
725,76509,869397,468384,auto,4,Les nettoyeurs ont été très sympathiques et serviables. Ils ont pris le temps de répondre à toutes mes questions et de me donner des conseils sur l'entretien de ma voiture. Je recommande vivement ce service à tous ceux qui recherchent un nettoyage de voiture de qualité et un service client attentionné.,terminée,2023-08-29,21:38,95,sec,Aucun,Aucun,élevé,Saint-Avold,TRUE,TRUE,2023-08
3,10484,882373,494886,matelas,4,"Mon matlas est tout propr' comme jamais après l'néttoyag', c'est incroyab' !",terminée,2023-03-24,22:18,60,à l'eau,Aucun,moyen,élevé,Saint-Avold,FALSE,FALSE,2023-03
5,16451,748834,476110,matelas,4,"Mon matlas est tout étincelant après l'néttoyage, c'est génial !",terminée,2023-05-01,13:45,50,à l'eau,Aucun,petit,élevé,75002 Paris,FALSE,FALSE,2023-05
